               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098892,            0.026407,            0.072366,          0.00079058,             0.14182,          0.00087678,          0.00023169,            0.071993,            0.012639,            0.062159,            0.070492,           0.0032787,           0.0032787
                   1,             0.07154,            0.024881,            0.064514,             0.57916,             0.16796,            0.021604,            0.006089,            0.057572,            0.011607,            0.056956,            0.040459,           0.0065793,           0.0065793
                   2,            0.062791,            0.022502,            0.060791,           0.0094328,             0.32333,            0.025881,           0.0068753,            0.054735,           0.0099471,            0.054048,            0.010393,           0.0098469,           0.0098469
                   3,            0.058435,            0.020741,            0.059577,             0.62146,             0.10557,            0.060159,            0.025541,            0.050096,           0.0097547,            0.054241,           0.0098515,           0.0098515,           0.0098515
                   4,            0.052271,            0.018996,            0.058731,             0.54194,             0.12076,            0.069899,            0.034021,            0.041223,           0.0091265,            0.052411,           0.0098515,           0.0098515,           0.0098515
                   5,            0.049856,            0.018714,            0.057137,             0.56662,             0.14759,            0.092419,            0.040533,            0.040349,           0.0091038,            0.051479,            0.009802,            0.009802,            0.009802
                   6,            0.047552,            0.017472,            0.055103,             0.75288,              0.1091,             0.12023,            0.059837,            0.039898,           0.0092024,            0.048241,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045619,            0.016969,            0.053624,             0.76213,             0.12483,             0.14586,            0.071955,            0.040512,           0.0087684,            0.048006,            0.009703,            0.009703,            0.009703
                   8,             0.04536,            0.016807,            0.051768,             0.77838,             0.14484,                0.17,             0.08553,            0.037606,           0.0082699,            0.046599,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043058,            0.015764,            0.049453,             0.68855,             0.15089,             0.15135,            0.081295,            0.037444,           0.0093049,            0.046174,            0.009604,            0.009604,            0.009604
                  10,            0.044028,             0.01644,            0.047357,             0.80973,             0.17123,              0.1882,            0.093364,            0.035416,           0.0084551,            0.041739,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043657,            0.016111,            0.045824,             0.82265,             0.16255,             0.22796,             0.10334,            0.036266,            0.008306,            0.041504,            0.009505,            0.009505,            0.009505
                  12,            0.042662,            0.015943,            0.042165,             0.85454,             0.16748,             0.21762,             0.11008,            0.038458,           0.0091857,            0.043171,           0.0094555,           0.0094555,           0.0094555
                  13,             0.04331,            0.016102,            0.040211,             0.71472,             0.27413,             0.30486,             0.16084,            0.033948,           0.0081808,            0.038702,            0.009406,            0.009406,            0.009406
